ID,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1,1686,2,3,Rural,1950,244716.3456510961
2,1912,3,1,Urban,1970,213071.02510253983
3,1011,5,1,Urban,2010,53282.09809835012
4,2539,2,2,Rural,1956,248908.68285342265
5,2313,4,1,Urban,1966,263133.0769570336
6,1548,2,2,Urban,1994,58109.072340997256
7,1077,3,3,Urban,2019,100286.32455951364
8,2199,3,1,Urban,1951,235626.91873828
9,1367,3,3,Rural,1977,118890.8568723156
10,1028,5,1,Urban,1996,72529.47361630353
11,2927,5,2,Suburb,1964,270887.9804921177
12,1258,4,3,Suburb,2001,170087.17963894046
13,1559,2,2,Urban,1979,200185.8888657013
14,2726,2,1,Suburb,1951,268337.04379597807
15,2349,5,1,Urban,2015,199549.00153794623
16,2392,5,2,Rural,1953,339929.768699294
17,2453,5,1,Suburb,2003,311964.9717083157
18,2554,2,2,Suburb,1966,312443.5581743009
19,2035,4,3,Urban,1952,299806.2567305534
20,2866,2,1,Suburb,1986,307348.3956143125
21,1917,4,1,Urban,1992,207358.65344065108
22,1791,2,2,Suburb,1962,169746.37870031464
23,2621,2,3,,1979,274001.3316255606
24,1745,5,1,Urban,1962,259882.62929644252
25,2466,3,2,Urban,1990,279387.3805352659
26,,4,3,Urban,1959,315581.23469978245
27,1892,3,3,Suburb,2008,254853.78296520945
28,1077,4,1,Suburb,1959,153624.30667134005
29,1163,5,1,Urban,2018,277954.3509289791
30,1868,2,1,Suburb,2016,132208.6675113326
31,1831,5,3,Urban,1996,239998.12383156415
32,1172,3,2,Rural,,41762.55881406319
33,1111,2,1,Rural,2002,124113.98848545314
34,2008,4,3,Suburb,2017,214463.71330122603
35,2715,2,1,Urban,1962,313135.8265255337
36,1159,4,1,Urban,2006,103424.94072926446
37,2998,4,1,Rural,2018,336755.4647003693
38,1249,3,1,Urban,1961,164716.27341946948
39,2595,4,1,Urban,1966,302041.9895224534
40,2572,3,1,Suburb,1996,242900.62007544652
41,2740,3,1,Urban,1956,316808.846761144
42,2129,2,3,Urban,1982,241963.66683789808
43,1829,3,3,Suburb,1998,259353.64520812308
44,2983,3,3,Suburb,,273956.5619212547
45,2689,3,1,Rural,1986,299612.77130017505
46,1673,3,2,Suburb,1962,170156.91227769683
47,2964,3,1,Rural,1952,332066.6074755549
48,2519,4,2,Urban,1972,242943.2713097995
49,2886,3,2,Rural,1955,239031.7861024665
50,2393,5,3,Rural,2016,226546.079373814
